id,year
98,1859
1400,1861
46,1843
786,1854
730,1839
766,1850
1023,1853
580,1837
883,1865
963,1857
967,1839
700,1841
821,1848
882,1836
675,1842
917,1841
564,1870
1289,1866
968,1844
807,1859
699,1851
914,1860
