id,words,syllables,syllables_per_word,word_letter_count,characters,characters_spaces,alphanumeric,alpha,articles,sentences,sentence_len_stdev,min_words_per_sentence,max_words_per_sentence,avg_words_per_sentence,words_per_sentence_stdev,syllables_per_sentence,letters_per_sentence,paragraphs,word_per_paragraph,pages_paperback,pages_a4,to_be_verbs,contractions,pauses,words_between_pauses,pauses_per_sentence,syllables_between_pauses,questions,question_sentence_ratio,unique_words,pronouns,first_person_pronouns,second_person_pronouns,third_person_pronouns,prepositions,cliches,similes
58,15861,22834,1.44,4.42,73765,97623,70139,69560,738,453,166.31,1,321,35.01,0.7,50.41,153.55,11,1441.91,39.65,22.66,269,152,2631,6.03,5.81,8.68,89,0.1965,3765,1713,36,0,63,2538,1,2
59,23024,35536,1.54,4.47,105239,128655,102843,102843,1741,289,254.21,15,324,79.67,4.29,122.96,355.86,73,315.4,57.56,32.89,1014,2,2055,11.2,7.11,17.28,7,0.0242,2905,2495,57,0,42,4778,3,23
60,85414,125289,1.47,4.4,396562,484489,375757,375718,6343,5904,87.96,1,149,14.47,0.43,21.22,63.64,2073,41.2,213.53,122.02,2464,681,8479,10.07,1.44,14.77,509,0.0862,8045,10379,16,11,71,14168,22,70
61,11444,20291,1.77,5.17,61016,72971,59173,59138,1268,470,104.83,1,124,24.35,0.97,43.17,125.83,220,52.02,28.61,16.35,294,10,1206,9.48,2.57,16.81,18,0.0383,2252,609,8,6,85,2447,4,5
62,67413,100053,1.48,4.36,302184,372180,294220,294198,6098,2372,89.18,1,305,28.42,0.43,42.18,124.03,1125,59.92,168.53,96.3,2110,101,5048,13.35,2.13,19.82,99,0.0417,6664,9008,54,6,39,13197,15,60
64,82715,120077,1.45,4.28,365644,452398,354288,354256,7945,4111,82.41,1,147,20.12,0.28,29.21,86.17,1874,44.14,206.79,118.16,2551,155,5948,13.9,1.45,20.18,213,0.0518,7225,10734,53,6,39,15917,18,57
68,57132,83409,1.46,4.3,252905,312303,245748,245737,5486,2194,89.86,1,194,26.04,0.38,38.02,112,1340,42.64,142.83,81.62,1630,160,3969,14.39,1.81,21.01,100,0.0456,6085,7000,54,5,40,11145,10,25
70,94438,142185,1.51,4.4,435267,532067,415111,414605,8098,7020,92.62,1,253,13.45,0.73,20.25,59.06,1922,49.14,236.09,134.91,4079,864,7275,12.98,1.04,19.54,575,0.0819,11095,10507,25,10,63,16041,18,57
71,9358,14021,1.5,4.31,41893,51355,40367,40359,784,346,108.28,2,131,27.05,2.47,40.52,116.64,55,170.15,23.39,13.37,422,0,918,10.18,2.65,15.26,42,0.1214,2014,1158,34,3,61,1761,0,9
72,47123,69912,1.48,4.45,217565,268120,209622,209593,4741,3029,78.21,1,198,15.56,0.09,23.08,69.2,1472,32.01,117.81,67.32,1422,185,3820,12.33,1.26,18.3,190,0.0627,5609,5632,14,7,78,8763,11,30
