id,title,author,author_birth_year,author_death_year,downloads
7864,The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose: Adi Parva,,0,0,269
10471,The World's Greatest Books - Volume 01 - Fiction,,0,0,269
14872,The Tale of Squirrel Nutkin,"Potter, Beatrix",1866,1943,269
32832,Piper in the Woods,"Dick, Philip K.",1928,1982,268
41214,Totem and Taboo: Resemblances Between the Psychic Lives of Savages and Neurotics,"Freud, Sigmund",1856,1939,268
2825,Undine,"La Motte-Fouque, Friedrich Heinrich Karl, Freiherr de",1777,1843,268
55749,"The Raven, and The Philosophy of Composition","Poe, Edgar Allan",1809,1849,268
28553,How it Works,"Williams, Archibald",1871,1934,268
699,A Child's History of England,"Dickens, Charles",1812,1870,267
17700,The Suppression of the African Slave Trade to the United States of America: 1638-1870,"Du Bois, W. E. B. (William Edward Burghardt)",1868,1963,267
19993,"Childhood's Favorites and Fairy Stories: The Young Folks Treasury, Volume 1",,0,0,267
25512,The Fables of Phaedrus: Literally translated into English prose with notes,Phaedrus,0,0,267
1106,The Tragedy of Titus Andronicus,"Shakespeare, William",1564,1616,267
4028,The Autobiography of Benvenuto Cellini,"Cellini, Benvenuto",1500,1571,266
711,Allan Quatermain,"Haggard, H. Rider (Henry Rider)",1856,1925,266
14658,The Road,"London, Jack",1876,1916,266
16764,"History of the Wars, Books I and II: The Persian War",Procopius,0,0,266
6885,The Indolence of the Filipino,"Rizal, Jose",1861,1896,266
11945,Essays of Schopenhauer,"Schopenhauer, Arthur",1788,1860,266
2787,An Old-Fashioned Girl,"Alcott, Louisa May",1832,1888,265
29090,The Complete Poetical Works of Samuel Taylor Coleridge. Vol 1 and 2,"Coleridge, Samuel Taylor",1772,1834,265
33670,Maxims and Reflections,"Goethe, Johann Wolfgang von",1749,1832,265
35155,The Betrothed: From the Italian of Alessandro Manzoni,"Manzoni, Alessandro",1785,1873,265
27889,"Familiar Quotations: A Collection of Passages, Phrases, and Proverbs Traced to; Their Sources in Ancient and Modern Literature",,0,0,265
23639,Plutarch's Morals,Plutarch,46,119,265
53964,The Sins of the Cities of the Plain,"Saul, Jack",1857,1904,265
1441,The Story of an African Farm,"Schreiner, Olive",1855,1920,265
4010,Marmion: A Tale Of Flodden Field,"Scott, Walter",1771,1832,265
3672,The 2000 CIA World Factbook,United States. Central Intelligence Agency,0,0,265
26558,Pennsylvania Dutch Cooking,Unknown,0,0,265
21300,"Cowboy Songs, and Other Frontier Ballads",Various,0,0,265
12915,The White Devil,"Webster, John",0,0,265
4351,The English Constitution,"Bagehot, Walter",1826,1877,264
3804,Pierre and Jean,"Maupassant, Guy de",1850,1893,264
16042,The Wonder Book of Bible Stories,,0,0,264
13015,Tales of Old Japan,"Redesdale, Algernon Bertram Freeman-Mitford, Baron",1837,1916,264
6798,Aesthetical Essays of Friedrich Schiller,"Schiller, Friedrich",1759,1805,264
19229,Anticipations: Of the Reaction of Mechanical and Scientific Progress upon Human life and Thought,"Wells, H. G. (Herbert George)",1866,1946,264
10459,The Celtic Twilight,"Yeats, W. B. (William Butler)",1865,1939,264
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",1883,1959,263
58599,The Devil and Parson Church,Anonymous,0,0,262
10935,The Wonderful Adventures of Nils,"Lagerlof, Selma",1858,1940,262
44653,A Latin Grammar for Schools and Colleges,"Lane, George Martin",1823,1897,262
38049,"Louisa May Alcott : Her Life, Letters, and Journals","Alcott, Louisa May",1832,1888,261
559,Greenmantle,"Buchan, John",1875,1940,261
10743,Moonfleet,"Falkner, John Meade",1858,1932,261
5314,Household Tales by Brothers Grimm,"Grimm, Wilhelm",1786,1859,261
48433,Kant's Critique of Judgement,"Kant, Immanuel",1724,1804,261
10378,Autobiography,"Mill, John Stuart",1806,1873,261
5342,The Story Girl,"Montgomery, L. M. (Lucy Maud)",1874,1942,261
24878,"Lucy Maud Montgomery Short Stories, 1909 to 1922","Montgomery, L. M. (Lucy Maud)",1874,1942,261
40986,"The Oera Linda Book, from a Manuscript of the Thirteenth Century",,0,0,261
17366,"Notes on Nursing: What It Is, and What It Is Not","Nightingale, Florence",1820,1920,261
9411,Legends of the Gods: The Egyptian Texts,"Budge, E. A. Wallis (Ernest Alfred Wallis), Sir",1857,1934,260
820,Edison: His Life and Inventions,"Martin, Thomas Commerford",1856,1924,260
10643,The World's Greatest Books - Volume 02 - Fiction,,0,0,260
26638,Pictorial Composition and the Critical Judgment of Pictures,"Poore, Henry Rankin",1859,1940,260
22814,A Practical Guide to Self-Hypnosis,"Powers, Melvin",1922,0,260
13334,The Collected Works of Ambrose Bierce - Volume 2: In the Midst of Life: Tales of Soldiers and Civilians,"Bierce, Ambrose",1842,1913,259
5060,Six Short Plays,"Galsworthy, John",1867,1933,259
34229,Steel Traps,"Harding, A. R. (Arthur Robert)",1871,1930,259
1365,The Complete Poetical Works of Henry Wadsworth Longfellow,"Longfellow, Henry Wadsworth",1807,1882,259
11659,The World's Greatest Books - Volume 08 - Fiction,,0,0,259
4023,Candida,"Shaw, Bernard",1856,1950,259
22748,Explanation of Terms Used in Entomology,"Smith, John Bernhard",1858,1912,259
44881,Confessions of a Thug,"Taylor, Meadows",1808,1876,259
58726,Small Talk at Wreyland. First Series,"Torr, Cecil",0,0,259
19002,Alice's Adventures Under Ground,"Carroll, Lewis",1832,1898,258
18590,The Letters of Cassiodorus,"Cassiodorus, Senator",484,580,258
2343,The Adventure of Wisteria Lodge,"Doyle, Arthur Conan",1859,1930,258
4014,Arsene Lupin,"Leblanc, Maurice",1864,1941,258
471,The Bride of Lammermoor,"Scott, Walter",1771,1832,258
7176,A Letter to a Hindu,"Tolstoy, Leo, graf",1828,1910,258
29228,The Contrast,"Tyler, Royall",1757,1826,258
887,Intentions,"Wilde, Oscar",1854,1900,258
58849,Steam Navigation and Its Relation to the Commerce of Canada and the United States,"Croil, James",0,0,257
38973,"Lace, Its Origin and History","Goldenberg, Samuel L.",0,0,257
58639,Welcome Martians!,"Hunter, Evan",1926,2005,257
50543,Short Stories for High Schools,,0,0,257
1028,The Professor,"Bronte, Charlotte",1816,1855,256
26240,The Clansman: An Historical Romance of the Ku Klux Klan,"Dixon, Thomas",1864,1946,256
2346,The Adventure of the Bruce-Partington Plans,"Doyle, Arthur Conan",1859,1930,256
16406,An Introduction to Philosophy,"Fullerton, George Stuart",1859,1925,256
211,The Aspern Papers,"James, Henry",1843,1916,256
3310,A Forgotten Empire (Vijayanagar): A Contribution to the History of India,"Nunes, Fernao",0,0,256
3688,The Chronicles of Clovis,Saki,1870,1916,256
