id,title,author,author_birth_year,author_death_year,downloads
10671,The Botanic Garden. Part II.: Containing the Loves of the Plants. a Poem.; With Philosophical Notes.,"Darwin, Erasmus",1731,1802,231
2681,Ten Years Later,"Dumas, Alexandre",1802,1870,231
12629,Language: An Introduction to the Study of Speech,"Sapir, Edward",1884,1939,231
3329,Caesar and Cleopatra,"Shaw, Bernard",1856,1950,231
14954,The Cid,"Corneille, Pierre",1606,1684,230
24534,The Autobiography of St. Ignatius,"Ignatius, of Loyola, Saint",1491,1556,230
8649,Indian Tales,"Kipling, Rudyard",1865,1936,230
40615,A History of the Reformation (Vol. 1 of 2),"Lindsay, Thomas M. (Thomas Martin)",1843,1914,230
5164,The Beetle: A Mystery,"Marsh, Richard",1857,1915,230
17135,Twas the Night before Christmas: A Visit from St. Nicholas,"Moore, Clement Clarke",1779,1863,230
10219,The Poetical Works of William Wordsworth - Volume 1 (of 8),"Wordsworth, William",1770,1850,230
3528,"Beethoven, the Man and the Artist, as Revealed in His Own Words","Beethoven, Ludwig van",1770,1827,229
19553,"The Private Diary of Dr. John Dee, and the Catalog of His Library of Manuscripts","Dee, John",1527,1608,229
53597,"Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, Vol. I",Evliya Çelebi,0,0,229
6765,"Mogens, and Other Stories","Jacobsen, J. P. (Jens Peter)",1847,1885,229
5340,Further Chronicles of Avonlea,"Montgomery, L. M. (Lucy Maud)",1874,1942,229
38488,Folk-Tales of Bengal,"Day, Lal Behari",1826,1894,228
34853,The Fairy-Faith in Celtic Countries,"Evans-Wentz, W. Y. (Walter Yeeling)",1878,1965,228
5616,The Madman: His Parables and Poems,"Gibran, Kahlil",1883,1931,228
1329,A Voyage to Arcturus,"Lindsay, David",1876,1945,228
44640,The World's Greatest Books - Volume 17 - Poetry and Drama,,0,0,228
31873,Henry of Ofterdingen: A Romance.,Novalis,1772,1801,228
18253,Discovery of Witches: The Wonderfull Discoverie of Witches in the Countie of Lancaster,"Potts, Thomas, active 1612-1618",0,0,228
22925,The Story of Young Abraham Lincoln,"Whipple, Wayne",1856,1942,228
58843,Index of The Project Gutenberg Works of Walt Whitman,"Whitman, Walt",1819,1892,228
15900,His Masterpiece,"Zola, Emile",1840,1902,228
22107,Wood-Carving: Design and Workmanship,"Jack, George",0,0,227
5614,Chess Strategy,"Lasker, Edward",1885,1981,227
9057,"Unspoken Sermons, Series I., II., and III.","MacDonald, George",1824,1905,227
41901,The Victorious Attitude,"Marden, Orison Swett",1848,1924,227
28656,Typee,"Melville, Herman",1819,1891,227
22766,Electricity for Boys,"Zerbe, James Slough",1850,0,227
10740,The Way of Peace,"Allen, James",1864,1912,226
